"Gender","Age","SC","FD","IWS","IE","OS","EOB","OBS","BH","C","OB"
"Female",24,4,0,1,0,1,1,1,3,3,1
"Male",33,1,0,5,0,5,5,5,3,5,5
"Female",42,3,3,3,2,3,3,3,4,3,3
"Female",13,3,3,4,5,4,4,3,5,5,4
"Male",7,3,4,4,4,4,4,3,2,1,4
"Male",27,3,3,4,3,3,4,5,4,4,4
"Male",10,1,5,1,5,1,1,4,4,4,1
"Male",17,1,1,2,1,3,2,1,4,3,2
"Female",12,3,3,4,3,4,4,3,5,4,4
"Female",15,4,4,5,4,5,5,5,5,5,5
"Male",26,3,3,5,3,4,5,3,1,2,5
"Female",28,5,4,4,4,4,4,1,5,4,4
"Female",23,5,5,2,2,2,2,5,4,4,2
"Male",7,4,4,2,4,2,2,2,1,1,2
"Male",34,2,2,4,2,4,4,1,4,3,4
"Male",19,3,3,3,3,3,3,5,5,5,3
"Male",51,2,2,2,2,2,2,3,1,4,2
"Female",64,4,0,4,4,5,2,2,2,2,5
"Female",33,1,1,4,4,4,4,5,5,4,4
"Female",15,5,5,3,5,5,4,4,4,4,3
"Female",14,4,2,5,3,2,4,4,4,4,5
"Male",26,5,5,1,5,4,1,4,5,5,1
"Female",26,2,2,2,4,5,3,3,3,3,5
"Female",12,4,4,1,4,1,1,4,5,5,1
"Female",22,1,1,3,4,4,4,4,4,4,5
"Female",55,1,1,4,4,4,4,4,4,4,4
"Male",15,1,1,3,1,2,3,2,3,4,3
"Male",67,4,4,1,4,1,1,4,2,3,1
"Female",33,5,5,5,4,4,5,5,5,5,4
"Male",31,4,4,5,4,5,5,5,4,4,5
"Female",19,4,4,5,4,5,5,3,2,1,5
"Female",13,4,4,4,5,4,5,5,5,5,3
"Male",36,4,4,3,4,3,3,4,4,5,3
"Female",17,5,5,5,5,5,5,2,3,4,5
"Female",15,3,3,4,4,4,5,5,5,5,3
"Male",36,1,2,1,2,1,1,4,4,1,1
"Female",50,5,5,5,5,5,5,5,3,5,5
"Male",67,2,2,1,2,1,1,1,3,4,1
"Female",7,5,5,1,4,5,4,4,4,4,3
"Male",34,3,0,4,0,4,4,5,5,5,4
"Female",64,5,5,5,3,3,1,1,1,1,3
"Male",62,2,2,5,2,1,5,3,5,4,5
"Female",32,3,3,2,3,2,2,4,4,4,2
"Female",39,4,2,4,1,1,4,4,4,4,3
"Male",29,5,5,2,5,2,2,3,5,4,2
"Male",48,1,1,3,1,3,3,5,5,5,3
"Female",28,5,5,4,4,4,5,3,5,5,4
"Female",9,3,3,2,3,2,2,5,5,4,2
"Male",63,2,2,5,2,2,5,3,4,5,5
"Male",26,1,1,4,1,4,4,4,4,4,4
"Male",24,2,2,4,2,4,4,4,4,4,4
"Male",42,5,5,2,1,2,2,3,3,4,2
"Male",28,2,2,1,2,2,1,4,4,4,1
"Male",32,2,2,4,2,4,4,4,1,1,4
"Female",61,4,4,3,5,5,5,5,5,5,3
"Female",67,4,0,2,5,5,4,4,5,4,5
"Male",60,3,3,1,3,1,1,3,3,5,1
"Female",53,3,3,2,5,5,3,3,3,3,3
"Male",45,2,2,2,2,2,2,1,3,3,2
"Male",17,4,4,4,4,4,4,4,2,3,4
"Female",38,4,4,5,4,5,5,5,5,5,3
"Male",7,2,2,2,2,2,2,3,4,4,2
"Female",38,5,5,5,5,4,5,5,5,5,4
"Female",64,4,4,4,4,4,4,4,4,5,4
"Male",49,1,1,2,1,2,2,5,4,4,2
"Male",19,4,4,4,5,5,3,2,4,2,5
"Female",15,4,4,5,4,3,5,5,5,5,5
"Male",55,3,3,4,3,4,4,4,4,4,4
"Female",21,4,4,4,4,4,4,4,5,4,4
"Male",70,3,3,3,3,3,3,2,4,4,3
"Male",47,4,4,1,4,3,1,1,5,5,1
"Female",25,4,5,4,4,4,4,5,5,4,4
"Male",65,1,1,3,1,3,3,1,3,3,3
"Male",15,1,1,1,1,4,1,5,4,4,1
"Female",64,5,5,1,2,1,5,5,5,5,5
"Male",16,2,2,2,2,2,2,5,5,5,2
"Male",57,2,2,3,2,3,3,5,4,5,3
"Male",17,2,2,2,2,2,2,1,2,3,2
"Female",19,4,4,3,5,5,5,5,5,5,5
"Male",9,2,2,2,2,2,2,4,4,4,2
"Male",47,4,4,1,4,1,1,5,5,4,1
"Male",47,2,2,4,2,4,4,3,5,4,4
"Female",64,2,2,4,5,4,4,4,4,5,4
"Male",22,2,0,4,0,4,4,3,5,5,4
"Male",69,3,3,5,3,5,5,4,4,4,5
"Male",14,3,0,5,0,5,5,1,5,4,5
"Female",31,5,2,5,4,5,5,1,4,5,5
"Male",45,3,3,1,3,5,1,4,5,5,1
"Male",56,3,3,2,3,2,2,1,2,4,2
"Female",66,4,4,3,2,2,3,3,3,3,3
"Female",35,5,5,4,4,4,4,3,4,5,4
"Male",30,4,4,3,4,3,3,3,4,3,3
"Female",7,3,1,1,1,5,3,3,3,3,1
"Female",34,4,3,5,3,1,5,5,5,5,5
"Female",62,5,4,3,5,5,5,5,5,5,5
"Male",48,4,4,5,4,4,5,4,4,5,5
"Female",7,5,5,4,4,4,4,3,4,5,4
"Female",21,0,0,5,0,5,5,1,5,1,5
"Female",44,4,4,1,3,4,1,1,1,1,4
"Male",40,2,2,1,2,1,1,3,4,5,1
"Female",60,3,3,5,4,5,2,2,2,2,3
"Male",46,2,2,5,2,5,5,5,3,4,5
"Female",14,5,5,5,4,4,4,4,4,4,5
"Male",43,4,4,4,4,4,4,3,4,5,4
"Male",33,1,1,2,1,2,2,1,1,3,2
"Male",56,4,4,1,4,1,1,5,1,4,1
"Female",49,5,5,2,4,4,4,4,4,4,1
"Female",27,1,1,5,5,5,5,5,1,5,5
"Female",68,3,3,5,4,5,4,4,4,4,4
"Female",42,4,4,4,4,4,4,4,4,4,5
"Female",16,0,0,3,0,3,3,1,3,2,3
"Female",28,4,4,4,4,4,3,3,3,3,4
"Male",43,2,2,2,2,2,2,5,3,5,2
"Male",32,3,3,1,3,1,1,3,4,4,1
"Female",42,5,5,4,5,5,5,5,5,5,4
"Female",66,4,4,5,4,4,4,4,4,4,5
"Female",28,4,4,4,4,2,4,4,4,4,2
"Female",52,3,3,4,4,5,4,4,4,4,4
"Male",25,1,1,4,1,4,4,1,4,3,4
"Female",35,4,4,4,5,4,4,1,1,5,4
"Male",40,2,2,3,2,5,3,4,4,3,3
"Male",60,2,2,1,2,1,1,3,5,4,1
"Female",67,3,5,5,3,1,4,4,4,4,5
"Male",64,2,2,1,2,1,1,3,4,4,1
"Male",11,1,1,2,1,2,2,4,4,3,2
"Female",36,5,5,4,4,4,4,4,3,1,4
"Female",44,4,4,4,4,4,2,2,2,2,4
"Female",7,4,4,4,3,1,5,5,5,5,2
"Female",14,4,5,2,5,2,2,4,4,5,2
"Female",36,4,4,3,1,3,4,4,4,4,5
"Female",24,5,5,1,5,1,1,5,4,4,1
"Male",51,2,2,5,2,5,5,3,3,4,5
"Male",61,3,1,2,1,2,2,2,4,3,2
"Female",10,4,4,5,4,5,5,2,4,4,5
"Female",43,3,3,4,4,4,5,5,5,5,3
"Female",62,4,4,4,4,4,4,1,5,4,4
"Female",42,4,4,5,5,5,5,3,5,4,5
"Male",9,2,2,4,2,4,4,1,3,3,4
"Female",21,5,5,5,5,5,5,2,1,4,5
"Female",15,3,3,3,4,5,4,4,4,4,3
"Female",30,2,3,2,5,5,4,4,5,4,4
"Male",67,3,3,4,3,4,4,1,5,4,4
"Male",14,5,5,4,5,4,4,1,2,1,4
"Female",41,5,4,5,5,4,5,4,4,1,5
"Male",33,2,2,1,2,1,1,1,4,3,1
"Female",29,4,4,1,4,1,1,3,5,5,1
"Female",54,4,4,4,4,5,4,4,4,4,5
"Male",48,1,1,5,1,4,5,2,2,3,5
"Male",17,1,0,3,0,3,3,3,5,5,3
"Female",69,1,1,4,5,5,5,5,5,5,4
"Female",33,5,5,5,5,5,3,3,3,3,3
"Male",8,3,3,4,3,4,4,3,3,2,4
"Male",44,2,2,1,2,1,1,3,4,3,1
"Female",38,5,5,4,5,4,4,1,3,3,4
"Male",67,3,3,2,3,2,2,4,3,3,2
"Male",40,2,0,3,0,3,3,5,1,3,3
"Male",32,2,2,3,2,3,3,5,5,4,3
"Male",59,2,2,2,1,1,3,1,1,3,1
"Female",36,4,4,4,4,5,5,5,5,5,4
"Male",51,3,5,4,5,3,4,1,5,3,4
"Male",27,1,3,4,3,4,4,3,4,4,4
"Male",17,2,0,2,0,2,2,2,1,5,2
"Male",49,2,2,3,2,3,3,2,4,4,3
"Male",17,2,2,1,2,1,1,3,3,2,1
"Female",20,4,4,3,5,4,4,4,4,4,4
"Male",50,1,1,3,1,3,3,5,4,4,3
"Male",45,3,0,4,0,4,4,5,1,2,4
"Male",69,2,2,1,2,1,1,4,4,5,1
"Female",48,4,4,3,4,4,5,5,5,5,5
"Female",33,3,3,2,2,2,2,5,5,5,2
"Female",24,4,4,2,4,2,2,4,5,4,2
"Female",48,1,1,4,4,4,2,2,2,2,5
"Male",20,3,3,3,3,3,3,1,3,3,3
"Male",28,5,5,4,5,4,4,4,3,2,4
"Male",54,2,2,5,2,5,5,4,2,2,5
"Female",58,3,5,3,5,5,3,3,3,3,4
"Female",40,2,2,3,5,5,4,4,4,4,3
"Male",53,3,3,2,3,2,2,4,4,4,2
"Male",56,2,2,2,2,2,2,5,4,5,2
"Female",67,4,5,4,4,5,4,4,4,4,4
"Female",70,4,5,3,4,4,5,5,5,5,5
"Female",31,5,5,5,5,5,5,3,3,4,5
"Male",10,3,3,1,3,1,1,1,3,4,1
"Female",41,2,1,2,2,2,2,2,3,2,2
"Male",52,3,3,3,3,3,3,4,4,3,3
"Male",12,4,4,4,4,4,4,2,1,2,4
"Female",20,4,4,2,4,1,2,3,4,4,2
"Male",34,2,2,1,2,1,1,5,5,4,1
"Male",28,2,2,3,2,3,3,4,4,3,3
"Male",50,4,4,2,4,2,2,2,3,3,2
"Male",7,1,1,5,1,5,5,2,3,4,5
"Male",36,1,1,1,1,1,1,3,4,3,1
"Male",32,4,5,4,5,5,4,4,5,4,4
"Female",57,5,5,3,5,5,5,5,5,5,5
"Female",28,2,2,3,4,4,5,5,5,5,5
"Female",46,3,3,5,5,4,5,5,5,5,5
"Female",36,4,4,4,4,4,5,5,5,5,4
"Female",20,2,2,5,5,4,5,5,5,5,5
"Female",35,4,4,1,4,1,1,3,5,4,1
"Female",58,4,5,5,5,4,4,4,4,4,4
"Female",46,1,1,4,4,5,5,5,5,5,5
"Male",55,2,1,2,1,2,2,4,4,2,2
"Female",10,5,5,5,5,5,2,2,2,2,4
"Male",63,5,5,3,5,3,3,4,4,3,3
"Female",35,4,4,1,4,1,1,4,4,5,1
"Male",21,3,0,3,0,3,3,3,3,1,3
"Female",63,1,5,5,5,4,4,4,4,4,4
"Male",19,3,3,5,3,5,5,3,4,3,5
"Female",37,5,5,4,5,4,5,5,5,5,4
"Male",20,3,3,4,3,4,4,4,3,2,4
"Male",58,2,2,1,2,1,1,4,4,4,1
"Male",17,4,3,1,3,1,1,5,2,5,1
"Female",32,2,4,5,5,5,5,3,5,5,5
"Male",42,5,5,4,5,4,4,4,4,4,4
"Male",69,1,1,4,1,4,4,4,4,5,4
"Female",49,3,3,3,4,4,2,2,2,2,5
"Female",52,4,4,1,4,4,3,3,3,3,2
"Female",37,1,1,3,5,5,4,4,4,4,3
"Male",21,2,2,2,2,5,2,5,3,2,2
"Male",57,1,1,5,1,4,5,4,2,5,5
"Female",18,5,5,3,5,3,3,4,5,5,3
"Female",44,3,3,5,5,5,5,5,5,4,5
"Male",35,5,5,5,5,4,5,3,5,5,5
"Male",8,2,2,1,2,1,1,2,3,5,1
"Male",55,3,3,1,3,1,1,2,2,4,1
"Male",46,2,0,3,0,3,3,3,5,5,3
"Female",55,5,5,2,4,4,5,5,5,5,5
"Male",10,3,3,4,3,4,4,4,2,3,4
"Female",23,3,3,4,3,4,4,3,2,2,4
"Male",9,3,2,5,2,4,5,4,5,4,5
"Female",32,4,4,1,4,1,1,3,5,5,1
"Male",57,2,2,5,2,5,5,3,5,4,5
"Male",20,3,3,3,4,4,4,3,4,3,4
"Female",54,3,3,4,4,4,4,4,5,5,4
"Female",17,4,4,2,2,2,2,2,2,2,5
"Female",57,1,1,3,5,5,3,3,3,3,1
"Female",64,4,2,3,4,4,3,3,3,3,4
"Female",48,5,5,4,5,1,4,4,4,3,4
"Female",41,3,3,5,5,4,5,5,5,5,3
"Male",28,3,0,3,0,3,3,4,4,5,3
"Female",26,4,4,1,4,1,1,5,5,4,1
"Female",21,5,5,5,5,2,5,3,3,4,5
"Female",55,1,1,5,4,4,4,4,4,4,5
"Male",27,5,5,4,5,1,4,4,4,4,4
"Male",33,0,0,3,0,3,3,3,4,5,3
"Female",24,4,0,2,0,5,2,3,4,5,2
"Male",15,2,2,3,2,3,3,4,3,2,3
"Male",54,3,3,1,3,1,1,5,2,4,1
"Male",69,2,2,2,2,2,2,4,5,5,2
"Female",15,4,5,2,1,4,5,5,5,5,3
"Male",19,5,5,2,5,2,2,4,5,4,2
"Male",18,2,2,4,2,4,4,4,4,5,4
"Female",33,1,1,5,5,5,5,5,4,4,5
"Female",56,5,5,2,5,4,4,4,4,4,3
"Female",10,4,4,4,4,4,4,2,4,3,4
"Female",26,5,4,5,1,1,5,5,5,5,3
"Female",61,2,2,5,5,5,5,3,4,5,5
"Female",36,0,0,4,0,4,4,3,5,4,4
"Male",24,3,3,4,3,4,4,4,4,4,4
"Male",7,3,3,1,3,1,1,3,4,5,1
"Female",31,4,4,3,4,5,4,4,4,4,3
"Female",28,3,1,3,5,3,3,1,1,5,3
"Female",39,3,3,2,4,3,5,5,5,5,5
"Female",65,4,4,3,2,4,3,3,3,3,4
"Female",41,4,4,4,5,5,4,4,5,4,4
"Male",36,2,2,4,2,4,4,2,3,2,4
"Male",54,4,4,3,4,3,3,4,4,4,3
"Female",29,3,3,4,5,4,4,4,4,5,4
"Male",69,4,4,2,4,2,2,3,3,2,2
"Female",26,2,2,5,5,5,5,5,5,5,5
"Female",11,4,4,3,4,5,3,5,4,4,3
"Female",54,1,1,5,5,5,5,1,4,3,5
"Female",19,4,4,3,4,3,3,4,5,5,3
"Male",60,4,4,3,4,3,3,1,4,4,3
"Female",30,5,3,5,4,5,5,5,5,5,5
"Female",26,5,5,2,4,4,5,5,5,5,3
"Male",50,2,2,5,2,5,5,3,4,5,5
"Female",19,2,2,4,4,4,5,5,5,5,5
"Male",42,4,3,1,3,1,1,3,4,5,1
"Female",10,4,4,1,4,1,1,3,5,4,1
"Male",53,3,3,1,3,1,1,4,5,4,1
"Male",32,3,3,4,3,4,4,4,3,4,4
"Female",20,2,2,2,2,3,4,4,4,4,1
"Male",59,3,3,3,3,3,3,2,2,2,3
"Female",36,0,0,1,0,4,1,2,1,4,1
"Female",17,3,3,2,5,4,4,4,4,4,5
"Male",58,2,3,2,3,1,2,1,3,4,2
"Female",56,4,4,5,4,5,5,2,4,3,5
"Female",34,4,5,5,5,5,5,4,4,5,5
"Male",50,1,1,2,1,2,2,2,2,4,2
"Male",13,1,1,5,1,5,5,3,4,5,5
"Female",59,4,4,4,1,1,5,5,5,5,1
"Male",45,2,4,4,4,4,4,1,3,2,4
"Female",42,2,2,3,4,5,5,5,5,5,5
"Female",24,3,4,3,4,3,3,3,5,4,3
"Female",63,4,4,1,2,3,3,3,5,3,4
"Male",10,1,1,5,1,5,5,4,2,4,5
"Male",47,3,4,4,4,4,4,3,2,1,4
"Female",43,4,4,5,4,5,4,4,4,4,3
"Male",17,3,3,3,3,3,3,2,3,4,3
"Female",54,1,1,3,5,5,4,4,4,4,5
